question,answer,context
What are some OKR tips?,Measurable,"Measurable
If you cannot measure it, you cannot understand whether it worked or not. Having a proper data-driven evaluation method for every OKR is mandatory, even for OKRs that are hard enough to be measured. If it does not have a number, it is not a key metric. As efood Marketing team mentioned above, this can’t be applied in all projects, because there are projects that can’t be measured, especially in marketing channels that are not click-based. YouTube evaluation is a great example. Since, (almost) no one is clicking on YouTube ads, measuring their impact was tricky and could lead to false insights. Our solution was to incorporate specific voucher codes (which efood Marketing team could track) and exit poll questions after conversion, which helped us a lot to understand the performance of channels such as YouTube. For the sake of history, not only did efood Marketing team not stop YouTube, but it is one of the best channels regarding performance!"
What are some OKR tips?,100% Related to our top-level strategy.,"100% Related to our top-level strategy.
“Short enough and valuable enough projects” is a tricky equation, and sometimes efood Marketing team are tempted to create shortcuts. This is wrong. That’s why efood Marketing team added a third element that ensures OKRs will not only increase our value increment within three months but also act as an investment in our long-term strategy. A useful example is that, although our competition heavily uses radio and local TV channels advertising and some of the clients (we have a lot of mutual clients with our competitors) insist that these marketing channels work, efood Marketing team stick to other digital channels (such as Facebook Marketing) that provide actual results but are not ‘sexy’ or ‘vocal.’"
What is a good way to create OKRs?,create no more than two or three of them and align all your sub-teams and team members’ efforts around them,"A beneficial way to shape your OKRs is to create no more than two or three of them and align all your sub-teams and team members’ efforts around them. This approach will increase collaboration between people and focused effort, which in turn increases the chances of deliverability and performance. You can also try it on a business level as well. Create 3-4 business OKRs and encourage all teams and departments to align with those as well as increase business focus and performance."
Provide me with actual OKR examples,Key Results: Increase new visitors',"Key Results: 
Increase new visitors' orders by X% QoQ creating and optimizing 3 performance campaigns in 2 performance channels.
(Performance team key metric: new user orders in performance channels)"
Provide me with actual OKR examples,Increase new visitors' order conversion,"Increase new visitors' order conversion rate in branded channels by X% QoQ creating at least 15 videos for new personas.
(Content team key metric: new user orders in branded channels)"
Provide me with actual OKR examples,Increase new visitors' orders,"Increase new visitors' orders by X% QoQ with coupon codes creating at least 6 events for new personas in city Y.
(Offline team key metric: new visitors’ orders with vouchers)"
Provide me with actual OKR examples,Increase new user orders conversion rate,"Increase new user orders conversion rate by optimizing new user flow on the web.
(Product team key metric: web new user flow conversion rate)"
Provide me with actual OKR examples,Optimize sign-up experience by implementing,"Optimize sign-up experience by implementing Facebook login functionality. 
(Product team key metric: Facebook login tasks 100% released)"
Provide me with actual OKR examples,Increase NPS performance,"Increase NPS performance by flagging calls from new users as high-priority.
(Customer care key metric: NPS from signed-up users)"
Provide me with actual OKR examples,Increase budget for new users,"Increase budget for new user activities by optimizing costs in finance area X.
(Finance key metric: provided budget for new user marketing activities)"
Can you share any interesting story with me?,"The ""Extra Mile"" story","A story about the “Extra Mile.” I read a great story by Benjamin Hardy on Medium, and Konstantinos would like to share it with his kind permission: A farmer had grown old and was ready to pass his farm down to one of his two sons. When he brought his sons together to speak about it, he told them: The farm will go to the younger son. The older son was furious! “What are you talking about?!” he fumed. “Okay,” the father said, “I need you to do something for me. efood Marketing team need more stocks. Will you go to Cibi’s farm and see if he has any cows for sale?” The older son shortly returned and reported, “Father, Cibi has 6 cows for sale.” The father graciously thanked the older son for his work. He then turned to the younger son and said, “I need you to do something for me. efood Marketing team need more stocks. Will you go to Cibi’s farm and see if he has any cows for sale?” The younger son did as he was asked. A short while later, he returned and reported, “Father, Cibi has 6 cows for sale. Each cow will cost 2,000 rupees. If efood Marketing team are thinking about buying more than 6 cows, Cibi said he would be willing to reduce the price to 100 rupees. Cibi also said they are getting special jersey cows next week, if efood Marketing team aren’t in a hurry, it may be good to wait. However, if efood Marketing team need the cows urgently, Cibi said he could deliver the cows tomorrow.” The father graciously thanked the younger son for his work. He then turned to the older son and said, “That’s why your younger brother is getting the farm.” Every time you want to do something, you should care enough in order to create something better than a decent project. Every time you have a request from a stakeholder, you need to “own” the request and create the best version of it and not just “serve” it according to stakeholders’ specs."
What are some leasson you learned for planning?,"proper planning is good, exlcellent is difficult",Doing proper planning is good. Achieving planning excellence needs “The Extra Mile.”
What are the roles in Nero?,"Nero Committee, a Nero Master, and a Marketing team","In this section, efood Marketing team briefly describe the roles involved in Nero. Being influenced by Scrum, efood Marketing team kept a similar structure with a Nero Committee, a Nero Master, and a Marketing team, but efood Marketing team slightly adjusted them to fit our needs. For example, there is no Product or Marketing owner, since there is a committee that consists of the managers of the teams, who decide together (along with the CMO) about prioritization in implementing the initiatives."
How big was the team when you started?," team started our Agile journey, there were six people","When efood Marketing team started our Agile journey, there were six of us: One manager, one copywriter, one designer, one TV ads manager, and two digital performance managers. The pillars that efood Marketing team built the whole department on are i) acquiring new users ii) delighting existing users iii) having targeted offline presence, so the teams that efood Marketing team formed were based on those."
What members the acquisition team consists of?,Predominantly performance marketers,"Acquisition Team: Predominantly performance marketers
This team includes mostly performance marketers while it consists of a designer and a copywriter as well. It mainly focuses on acquisition metrics and has the biggest autonomy of all teams. Acquisition campaigns are predominantly performance campaigns, so efood Marketing team need to ensure that efood Marketing team have the necessary technical knowledge in place to fully utilize all the acquisition channels while efood Marketing team can produce enough content without interrupting the content team’s pace."
What members the retention team consists of?,Largely content marketers,"Retention Team: Largely content marketers
The content team consists of videographers, community managers and designers. It focuses on retention metrics while it includes a performance marketer that handles retention campaigns in performance channels. Retention campaigns require more content; that’s why the team is content-oriented."
What about even managers?,Both teams include event managers,Both teams include event managers that handle offline marketing activities.
How teams are growing?,Teams are not growing equally,"Teams are not growing equally because they don’t have to. If the content team expands in other content verticals (for example, opening a new portal about food), it will need more people, while if the performance team expands in other marketing channels, they can handle it by building automated monitoring systems without adding new people in the team."
What were the main issues of a big marketing team?,Alignment and Prioritization,"Having three sub-teams caused a major problem: the issue of Alignment and Prioritization. In regular Scrum teams, the Product Owner leads the way in terms of decision making, but efood Marketing team decided to use another approach and face it as a team sport. There are so many things, facts and numbers that you should consider when it comes to prioritization, so two minds are better than one (as long as they are aligned). efood Marketing team created a “Nero Committee” that includes the manager of each sub-team and the CMO (who represents business stakeholders). Before sprint planning, efood Marketing team hold an alignment meeting; efood Marketing team set priorities and tasks for each sprint both for the sub-teams and the whole department as well."
What Nero Commitee is responsible for?,"Direction, Backlog Quality, Communication with stakeholders
","People that participate in the Nero Committee are generally responsible for: ""Direction
While a working system focuses on the working process and its optimization, a crucial business element is the strategy efood Marketing team use to produce the “input” projects. Nero Committee is responsible for providing a clear direction in terms of objectives and numbers. It does not have to be concise since efood Marketing team don’t believe in strict planning. It should, however, act as a roadmap that will guide all teams and allow them to experiment and improvise within it."" Last quarter efood Marketing team focused our efforts on cost optimization. Each team leader was responsible for explaining the reasoning behind their decision, discussing and confirming with teams about the projects that would be implemented, and defining the success metrics so that everyone, both in teams and the C-level, would understand how a successful quarter would look like. ""Marketing Backlog Quality
Having a clean and quality backlog is one of the main responsibilities of the Nero Committee. A proper Marketing backlog should represent Marketing strategy effectively, having the tasks that need to be done and their prioritization. The Nero Master also helps in backlog quality by reminding colleagues to update their task status."" ""Communication with stakeholders
Team members should not have external distractions from other departments. The Nero Committee handles most of the interaction with C-level and stakeholders, along with the Nero Master, to streamline efficient implementation."""
What direction means?,the strategy  team use to produce the “input” projects,"Direction While a working system focuses on the working process and its optimization, a crucial business element is the strategy efood Marketing team use to produce the “input” projects. Nero Committee is responsible for providing a clear direction in terms of objectives and numbers. It does not have to be concise since efood Marketing team don’t believe in strict planning. It should, however, act as a roadmap that will guide all teams and allow them to experiment and improvise within it."" Last quarter efood Marketing team focused our efforts on cost optimization. Each team leader was responsible for explaining the reasoning behind their decision, discussing and confirming with teams about the projects that would be implemented, and defining the success metrics so that everyone, both in teams and the C-level, would understand how a successful quarter would look like."
What Marketing backlog quality means?,Marketing backlog should represent Marketing strategy effectively,"Marketing Backlog Quality Having a clean and quality backlog is one of the main responsibilities of the Nero Committee. A proper Marketing backlog should represent Marketing strategy effectively, having the tasks that need to be done and their prioritization. The Nero Master also helps in backlog quality by reminding colleagues to update their task status."""
What Communication wth stakeholders means?,Team should not have distractions from other departments,"Communication with stakeholders Team members should not have external distractions from other departments. The Nero Committee handles most of the interaction with C-level and stakeholders, along with the Nero Master, to streamline efficient implementation."""
What Nero Commitee is responsible for?,is not responsible for the implementation of tasks,Please note that the Nero Committee is not responsible for the implementation of tasks. Every team has professionals that work in their own way and are responsible for the quality of their work.
What Nero Master is?,responsible for optimizing the productivity of the team,The Nero Master is based on Scrum Master duties. She is responsible for optimizing the productivity of the team and makes sure that the Nero process will not fall apart. Nero Master is:
What are the pillars of a Nero master?,The Team’s Shield,"The Team’s Shield
Working between the team and the Nero Committee. In our company, efood, the Nero Master participates in most meetings and she is trying to understand how projects should be shaped and distributed among teams."
What are the pillars of a Nero master?,The Process Ambassador,"The Process Ambassador
One of our biggest pain points is discipline (I’ll explain why later). The Nero Master’s main duty is to make sure that everyone respects the work process and all events are conducted properly. Since the process is continuously changing, this is not an easy task, and it requires domain knowledge and patience."
What are the pillars of a Nero master?,The Dependencies Solver,"The Dependencies Solver
She should provide all the necessary resources to the team to remove both external and internal dependencies. Dependencies are a sensitive topic that may lead to conflicts. So the Nero Master should have the right soft skills to handle those challenges."
What are the pillars of a Nero master?,The Efficiency levels Regulator,"The Efficiency levels Regulator
The Nero Master should have a broad marketing knowledge to understand if team members underestimate or overestimate their tasks. She also makes sure (along with the Nero Committee) that committed and confirmed projects are on track and will be delivered on time. Furthermore, she is responsible for maintaining the efficiency reports and burndown charts to understand the team’s performance and happiness benchmarks."
Full time or part time Nero Master?,team made an internal promotion which is currently a part-time,"There are currently debates from industry experts about hiring a full-time Scrum Master. In our case, efood Marketing team couldn’t hire anyone (since this framework does not exist outside our team). So efood Marketing team made an internal promotion which is currently a part-time Nero Master and part-time Marketer."
Why the name Nero?,originates from the Greek word for water “nero.”,"Having created our working process, efood Marketing team needed a name for it (we are marketers after all). Nero originates from the Greek word for water “nero.” efood Marketing team used this name because our system has great similarities with water. Specifically:
Water is always moving, just like Nero. By the time you read this book, Nero would have evolved to help us solve emerging marketing problems. 
Water always finds a way to overcome obstacles. This is the purpose of Nero. Since efood Marketing team are realists, efood Marketing team don’t expect that we’ll have zero obstacles. efood Marketing team can at least make sure that efood Marketing team minimize them as much as possible.
Water is the source of life and is a one-shaped element. Nero is the backbone of our Marketing department. If not for Nero, silos would exist, and the alignment between sub-teams would be impossible."
What team does not like?,"team hate meetings,","efood Marketing team hate meetings, but efood Marketing team like gatherings. Our events (which are also based on the Scrum approach) help us understand what is happening across the Marketing department and minimize internal meetings."
What is the duration of a Nero sprint?,team prefer one-week sprints,"A usual Scrum sprint would be a two-week one. However, in Nero and Marketing, efood Marketing team prefer one-week sprints, although efood Marketing team extensively tried two-week sprints as well. During a sprint planning, every team checks its Marketing backlog and selects the right tasks that are ready for implementation and attainable within a sprint. The manager of every team joins the alignment meeting (if you don’t have multiple sub-teams, like efood Marketing team have in efood, skip this step) where the mutual tasks for the whole marketing department are discussed and confirmed by the Nero Committee. Mutual tasks are mostly tasks of 360 campaigns in which all sub-teams are involved. Later, the team decides if all team tasks can be achieved within the sprint. Unless all tasks are attainable within the sprint, the team prioritizes them accordingly. Usually, tasks of 360 campaigns have bigger value since they affect multiple sub-teams. Then, all non-prioritized tasks return to the Marketing backlog until the next sprints. efood Marketing team write the tasks in paper notes in order to add them on our physical board while efood Marketing team add them in Sprint backlog in Asana as well."
Any Nero sprint tips?,tasks can be achieved within the sprint.,"A usual Scrum sprint would be a two-week one. However, in Nero and Marketing, efood Marketing team prefer one-week sprints, although efood Marketing team extensively tried two-week sprints as well. During a sprint planning, every team checks its Marketing backlog and selects the right tasks that are ready for implementation and attainable within a sprint. The manager of every team joins the alignment meeting (if you don’t have multiple sub-teams, like efood Marketing team have in efood, skip this step) where the mutual tasks for the whole marketing department are discussed and confirmed by the Nero Committee. Mutual tasks are mostly tasks of 360 campaigns in which all sub-teams are involved. Later, the team decides if all team tasks can be achieved within the sprint. Unless all tasks are attainable within the sprint, the team prioritizes them accordingly. Usually, tasks of 360 campaigns have bigger value since they affect multiple sub-teams. Then, all non-prioritized tasks return to the Marketing backlog until the next sprints. efood Marketing team write the tasks in paper notes in order to add them on our physical board while efood Marketing team add them in Sprint backlog in Asana as well."
Any Nero sprint tips?,tasks of 360 campaigns have bigger value,"A usual Scrum sprint would be a two-week one. However, in Nero and Marketing, efood Marketing team prefer one-week sprints, although efood Marketing team extensively tried two-week sprints as well. During a sprint planning, every team checks its Marketing backlog and selects the right tasks that are ready for implementation and attainable within a sprint. The manager of every team joins the alignment meeting (if you don’t have multiple sub-teams, like efood Marketing team have in efood, skip this step) where the mutual tasks for the whole marketing department are discussed and confirmed by the Nero Committee. Mutual tasks are mostly tasks of 360 campaigns in which all sub-teams are involved. Later, the team decides if all team tasks can be achieved within the sprint. Unless all tasks are attainable within the sprint, the team prioritizes them accordingly. Usually, tasks of 360 campaigns have bigger value since they affect multiple sub-teams. Then, all non-prioritized tasks return to the Marketing backlog until the next sprints. efood Marketing team write the tasks in paper notes in order to add them on our physical board while efood Marketing team add them in Sprint backlog in Asana as well."
Is one week sprint duration useful?,help us stay relevant and up to date,"Our preferred one-week sprints help us stay relevant and up to date. In a Marketing environment, where real-time marketing is not just a buzzword, many changes happen in a short amount of time, and efood Marketing team need to be really Agile to cope with them efficiently."
Provide an example of why one week sprint is useful,"A campaign team agreed about it on a Tuesday, and on Thursday morning, it went live","Two months ago, efood Marketing team realized that over the last three days of the week, our performance in a specific business sector declined, which would lead us to not reaching our monthly goals. So, efood Marketing team decided to create a campaign that would tackle that problem. However, it needed to be executed as fast as possible. efood Marketing team agreed about it on a Tuesday, and on Thursday morning, it went live. It was an unplanned campaign, but efood Marketing team managed to deliver it fast and effectively. It may sound easy, but for a big team like ours, it was not since efood Marketing team already had other tasks in place.In one-week sprints, each team member has three to six tasks (depending on their size and complexity). So, you have to complete one or two (worst case scenario) tasks each day in order to be more focused on increasing the quality of delivery. efood Marketing team also realized that being focused decreased the number of unplanned tasks dramatically. The reason is simple. A strategy that provides us with valuable tasks beats compelling tasks (time-sensitive but not long-term value). During our retrospectives, efood Marketing team found out that dealing with urgent tasks made us “procrastinate” and avoid starting the hard and big projects that were more valuable. Finally, short sprints help us have more iterations. efood Marketing team can’t always implement the MVP approach. If four weeks are needed to create a fully functional campaign, efood Marketing team spend one week setting up the basic rules and then efood Marketing team monitor it for three weeks to optimize it based on performance."
What is a pitfall of 1 week sprint?,long-term causing “process fatigue”,"On the other hand, one-week sprints can wear out a team due to their long-term causing “process fatigue” and resistance to the system. It took us many weeks to realize that every Monday, efood Marketing team have to plan the whole week and follow a specific process. Though it is Agile, it still has processes that must be followed (alignment meeting, planning, sprint review, etc.). Overall, efood Marketing team spend about four hours per week on “Nero” that may seem like no-value hours or non-working hours, but in reality, efood Marketing team “sacrifice” four hours to amplify the rest of our workload. Another drawback of having one-week sprints is that it increases pressure. Pressure has both pros and cons. For a successful team, it acts as an (artificial) crisis that helps them stay sharp, but for other teams, it may cause serious problems such as poor planning and lack of commitment."
What is a pitfall of 1 week sprint?,it increases pressure,"On the other hand, one-week sprints can wear out a team due to their long-term causing “process fatigue” and resistance to the system. It took us many weeks to realize that every Monday, efood Marketing team have to plan the whole week and follow a specific process. Though it is Agile, it still has processes that must be followed (alignment meeting, planning, sprint review, etc.). Overall, efood Marketing team spend about four hours per week on “Nero” that may seem like no-value hours or non-working hours, but in reality, efood Marketing team “sacrifice” four hours to amplify the rest of our workload. Another drawback of having one-week sprints is that it increases pressure. Pressure has both pros and cons. For a successful team, it acts as an (artificial) crisis that helps them stay sharp, but for other teams, it may cause serious problems such as poor planning and lack of commitment."
Give me a thoughtful quote,Kill Dependencies Before They Lay,Kill Dependencies Before They Lay Eggs
What is a good team principle?,disagree and commit.,"Nero Committee members should not necessarily share the same opinions for every project. However, if the Committee believes that a specific decision is the right one, then all members should commit themselves to it even if they disagree. This is a very effective way to keep everyone aligned. It is not easy to disagree and be committed, especially if you disagree most of the time, but it helps to build a team spirit, and after practicing it multiple times, it becomes muscle memory (plus a skill to add in your CV)."
What is daily standup?,a quick daily alignment meeting,"Every day efood Marketing team do a quick meeting where everyone briefly describes: - What each member did yesterday, mostly commenting on tasks that they committed themselves to the day before. - What they will do tomorrow, while an update of the sprint backlog takes place simultaneously. - What blockers/dependencies have prevented teams from proceeding so that the Nero master can understand and utilize everything possible to remove the block."
What is a good tip for a daily standup?,achieve one minute standups per team member,"Again, efood Marketing team do not make it strictly time-boxed, and efood Marketing team do not do it per sub-team. efood Marketing team run our daily standups all together, and our main purpose is not to achieve one minute standups per team member but to achieve alignment between all members across the Marketing department. Alignment helps us eliminate meetings, which means efood Marketing team save time. Also, most of the time, efood Marketing team just need two to three minutes per person, which is not too distant from the strict one-minute rule. Lately, efood Marketing team have moved to asynchronous daily standups using a Slack bot called Geekbot. Asynchronous daily standups seem like a better option for us due to:"
Why daiy standup is useful?,"Small teams, big department","Small teams, big department
 All sub-teams are small, but efood Marketing team do our daily standup as a department, and this is not optimal. Prioritizing alignment over the time-box approach often leads to time-consuming daily standups. With Geekbot, it literally takes us one minute to create our report and two minutes to check the reports of our colleagues."
Why daiy standup is useful?,Different priorities,"Different priorities
 Every sub-team has different priorities. Even every marketing professional has different priorities most of the time. By using Geekbot efood Marketing team have all the reports in one place so every marketer can find the most relevant report and get the most valuable information of a daily standup fast and easily."
Why daiy standup is useful?,“Scripta manent”,"“Scripta manent”
 All daily reports are stored in Geekbot so that everyone can check them whenever they want. Some managers cross-check daily reports every Thursday to make sure that the team is working towards confirmed goals and hasn’t lost its focus. Also, all the blocking factors are highlighted (we have a specific section only for them), so the Nero Master can find them easily and help marketers overcome them."
Why daiy standup is useful?,Everyone reports,"Everyone reports
 There are days on which people come to the office late, they are working from home, or they are in a business meeting in another country. Geekbot helps us stay aligned no matter where efood Marketing team are."
What a typical sprint review includes?,WHAT efood Marketing team ACHIEVED,"WHAT efood Marketing team ACHIEVED (Performance Increment)
We present and discuss our performance every week since this is our contribution and actual increment to business. efood Marketing team present it in front of everyone so that they know what efood Marketing team achieved and how our work reflects on the company’s growth. A problem with performance increment, especially on a weekly basis, is that it is not always positive, but many of our projects have a long-term purpose, so efood Marketing team check monthly and yearly metrics as well. Also, hiding negative results is not a solution because hiding them does not transform them into positive ones, and it decreases the transparency between team members."
What a typical sprint review includes?,business performance overview,"Important Note: Everyone should be aware of business performance. efood Marketing team need to be aware of our business situation even if the results are not the ideal ones. Having everyone understand where efood Marketing team stand as a company increases alignment and removes project conflicts. Before this meeting implementation, although efood Marketing team assumed that everyone knew our performance, efood Marketing team were wrong. Do it as a test, go check if everyone in the office knows how you performed last month. You will be surprised."
What a typical sprint review includes?,HOW efood Marketing team ACHIEVED,"HOW efood Marketing team ACHIEVED IT (All completed tasks)
We dedicate one slide for every completed task that includes the task name, description, and outcome. efood Marketing team used to have them on a list, but that increased the time efood Marketing team spent explaining what we’ve done and achieved with this task. Switching to one slide for every task helps everyone understand its context."
What a typical sprint review includes?,WHAT efood Marketing team MISSED,"WHAT efood Marketing team MISSED (All non-completed tasks)
In general, efood Marketing team present all planned tasks (not only completed ones) because everyone should understand why efood Marketing team didn’t complete all of them. This increases transparency and builds trust across the team and the stakeholders. Also, it helps us to become better planners."
Give me a thoughtful tip,Structured when matters,"There are specific periods when efood Marketing team decide not to operate in regular sprints but work at our own pace without planning. These are mostly vacation periods when most of our colleagues are out of the office. Thus, having all the processes in place is useless."
What are retrospective meetings?,discuss how efood Marketing team feel about the sprint that just ended,"Every two weeks, after the Sprint review, efood Marketing team gather in our office gym facilities or outside (definitely not in our office) to discuss how efood Marketing team feel about the sprint that just ended. efood Marketing team focus on: i) things that worked well and how to maintain them on our next sprints ii) things that did not work well and how to improve them on our next sprints. efood Marketing team also discuss the problems that efood Marketing team have had with other members to solve them face to face, which is not easy, but it is definitely worthwhile."
Give me a thoughtful tip,The biggest problem is to have no problems,The biggest problem is to have no problems. 
What are artifacts?,anything made or modified by human art,"Artifacts are anything made or modified by human art. It is a terminology that efood Marketing team find in Scrum. efood Marketing team decided to add all our artifacts as a team, not just artifacts that are working process-optimization oriented."
What is Marketing backlog?,Marketing backlog includes ALL marketing tasks from every team member,"Our Marketing backlog is used as the top-level overview of our department. Stakeholders have access to our Marketing backlog, and they can also glance at projects and tasks which are being currently implemented. Marketing backlog includes ALL marketing tasks from every team member across all sub-teams. The marketing backlog includes our main templates, namely “Task template,” “Project template,” “Prioritization template,” and “Tags template.” Following the templates, there are sections that efood Marketing team apply across all backlogs."
What are the states of Nero sprint?,"To-Do, In progress, Done, Blocked, Pool",
Describe Nero sprint states?,To-Do ,"To-Do
Here efood Marketing team include all the tasks efood Marketing team have to do in the sprint. efood Marketing team use paper notes for each task headline using the same color for all team members."
Describe Nero sprint states?,In progress,"In progress
Here are all the tasks that are currently in progress. efood Marketing team apply the rule of thumb that a maximum of two tasks must be a work in progress."
Describe Nero sprint states?,Done,"Done
The Done column includes all the completed tasks. By the time a task goes under the “done” column, it can’t go back."
Describe Nero sprint states?,Blocked,"Blocked
Blocked tasks are usually tasks that are blocked by third parties. Theoretically, efood Marketing team can include blocked tasks from our sub-teams, but most of the time, efood Marketing team manage to have a flow between our internal tasks. Blocked column acts as an indicator of our autonomy. Our latest request for a new Marketing member came from analyzing our Blocked tasks."
Describe Nero sprint states?,Pool,"Pool
In the “Pool” column efood Marketing team include all tasks that a team member can do in case they finish their tasks, and there is still time left within our sprint. This does not happen very often, but the pool can help us have preliminary planning for our next sprint."
What does Nero Master during in Nero sprint?,works mostly on the “Blocked” stories,"The Nero Master works mostly on the “Blocked” stories. Many stories have dependencies in other departments or other Marketing sub-teams, so the Nero Master tries to remove all the obstacles and do the necessary follow-ups so that everything can operate smoothly. Handling dependencies is a full-time job and a problem that unless you tackle efficiently it can kill the team’s efficiency and weaken its morale. For example, if you would like to implement a new tool for marketing automation, but your Finance department needs one month for the approval process, then Konstantinos can reassure you that your team will never try a new tool."
What is performance increment?,team check our main business metrics and how they have evolved,"According to Scrum, after each sprint, there is a product increment that the stakeholders can interact with. Since efood Marketing team work in Marketing, and efood Marketing team don’t have a product, after each sprint, efood Marketing team check our main business metrics and how they have evolved within our sprint. For our business, efood Marketing team have two core metrics. There are a lot of micro-goals that define the evolution of macro-goals that efood Marketing team set. efood Marketing team examine all of them to understand what worked well and what needs to be improved in the next sprint. Plus, efood Marketing team check how many tasks efood Marketing team have completed. Our focus is on business outcomes, though, since task completions do not pay for our salaries, while generating business revenue and happy customers and partners do."
Give me a lesson you learn,Agile won’t necessarily increase your business performance,"Being Agile won’t necessarily increase your business performance. It is of high importance that additional elements are implemented, such as an effective strategy or creativity to produce the best outcome. But efood Marketing team like to treat our “system” as a whole, not as separate parts since there is no value in creating a super-agile working process with a terrible strategy or a great strategy that requires burnouts in order to be successful. efood Marketing team are working to optimize our working process and strategy at the same time."
Which tool you use?,Asana is our primary tool,"Asana is our primary tool. You don't have to use Asana though, you can use your favorite tool since most of the popular project management platforms support similar functionalities . efood Marketing team organize the whole Marketing department in Asana. Everyone has the same permissions, everyone can add or edit tasks, and everyone can see everything. efood Marketing team do this to increase transparency and accountability across team members (after all, efood Marketing team have a history for every task). For Asana structure, efood Marketing team use “Asana Projects,” and the approach is the following:
- Marketing Backlog
- Marketing Sub-team Backlog
- Sprint Backlogs
Maintaining these backlogs can’t be done by a single individual. efood Marketing team assign OKR and channel backlog owners, while the Nero Committee has the overview and is 100% responsible for what is in and what is implemented."
How do you measure how many days you need to deliver a task?,Velocity is the metric,"Velocity is the metric Scrum uses to estimate a task. Since all stakeholders use the sense of time for delivery estimation, efood Marketing team needed to come up with something effective. This is how efood Marketing team came up with Nero Velocity which includes two metrics. Every task efood Marketing team have in our sprint is characterized by time estimation (1 point equals to 4 hours of work) and complexity (that can take values from 1 to 5). The scale is the following:
- 0.5 Time Point: 2 hours of work
- 1 Time Point: 4 hours of work
- 2 Time Points: 8 hours of work (1 day)
- 3 Time Points: 16 hours of work (2 days)
- 5 Time Points: 24 hours of work (3 days)"
How do you measure complexity?,With complexity points,"- 1 complexity point: A little complex
- 2 complexity points: Complex
- 3 complexity points: Too complex
- 5 complexity points: Impossible to solve
(Zero complexity would be de-motivating, especially for the team dealing mostly with “little complex” tasks)"
Why you need both velocity & complexity?,because one does not fit all,"We need two metrics because one does not fit all. An example is the task of ‘answering app store reviews in Play Store’ which may take four hours to be completed (one task point) and one complexity point. Another task called “budget alignment of a marketing channel” may take four hours of work (one task point) too, but its complexity is way higher than that of ‘answering app store reviews.’"
Nero Velocity,Note: Nero Velocity took us,"Note: Nero Velocity took us one year to implement. efood Marketing team started with time estimation and then, after thirty sprints, efood Marketing team added complexity. Evolution over fixation is essential for the adoption of new working processes. Also, it’s not easy to estimate how much time you need to complete a task. This knowledge is gained through experience and collaboration. If Konstantinos believe that to complete task X Konstantinos need no more than three hours, while you think that it should take ten hours, then efood Marketing team should discuss it and find a way to deliver the task in the fastest way possible, even when this task is not my favorite. This is part of the responsibility efood Marketing team have if efood Marketing team want to stay autonomous. Unless efood Marketing team challenge ourselves or our colleagues, efood Marketing team will end up with a process that, although it won’t involve any conflicts (because efood Marketing team won’t care about how efood Marketing team can achieve the best result in the fastest way) it will deliver poor results in terms of efficiency and it will be almost impossible to identify!"
Why should complexity be up to five?,"If it is too complex, better segment it","Complexity follows the rule of thumb that says, “if it is too big, it should not be included in the sprint.” If it is too complex, better segment it into shorter tasks and, most of the time, the complexity will get a lower value."
What are some Nero metrics?,"Planned Velocity, Time and Complexity","Planned Velocity, Time and Complexity
After the completion of each sprint, efood Marketing team collect all task points regarding time and complexity per day of completion, per team member, per sub-team and as an overall department. efood Marketing team do that for every sprint to understand the dynamics behind every sprint planning. Rules that efood Marketing team set for sprint planning help us avoid significant fluctuations and be as realistic as efood Marketing team can be."
What are some Nero metrics?,"Achieved Velocity, Time and Complexity","Achieved Velocity, Time and Complexity
After completing a sprint, efood Marketing team collect time and complexity points efood Marketing team scored during a sprint along with other metrics (day of completion, team member, sub-team, department level). During our sprints, efood Marketing team see that the team’s standard deviation in each sprint is not vast. This means efood Marketing team can predict how many task points the team will deliver within the next sprint. Our purpose is not to increase velocity per se, however, there is always room for optimization."
How to use these metrics?,Don’t use these metrics to criticize or reward your team,"Don’t use these metrics to criticize or reward your team. If you do it, then everyone will focus on beautifying those metrics to avoid judgement or to get more rewards. This behavior is human nature. Alternatively, you can use these metrics to explore your team’s efficiency and understand if you can optimize it. This takes time. efood Marketing team have been using these metrics to have a better understanding about our planning capabilities as a department so far."
Why Nero process is not a good way to validate team?,it doesn’t deal with the actual input that the team has to deliver,"Optimizing the working process will help the team deliver projects on time without sacrificing quality, while maintaining a steady pace. However, it doesn’t deal with the actual input that the team has to deliver. efood Marketing team like to approach Nero as an end-to-end process. While efood Marketing team optimize our working process, efood Marketing team also optimize the input process so that only the best and most valuable projects are implemented. There are many prioritization frameworks, but efood Marketing team wanted to have a simple and lightweight one to help us apply prioritization between projects and identify the most valuable ones effectively. With Nero prioritization, when efood Marketing team create a project, efood Marketing team write down its objective (roughly) and all the necessary actions that need to be done to make the project happen. After writing down all the projects, efood Marketing team need to prioritize them. efood Marketing team start with the most valuable one and leave less valuable projects on hold."
How team prioritizes?,"Value, Confidence and Time estimation.","Prioritization score comes from 3 metrics: Value, Confidence and Time estimation."
